# AUTHOR: CALIFA collaboration
# SOURCE: Own analysis of SDSSS imaging 
# DATE: 2014-09-09
# VERSION: 1.0 
# COLAPRV: CJW
# PUBAPRV: None 
# COLUMN1: CALIFAID, int, , ID of the CALIFA galaxy 
# COLUMN2: REALNAME, string , Galaxy name 
# COLUMN3: DBName, string, , Name in CALIFA database 
# COLUMN4: ra, float, degrees, right ascension J2000.0 
# COLUMN5: de, float, degrees, declination J2000.0
# COLUMN6: hubtyp, string, , Hubble type S or E
# COLUMN7: hubsubtyp, string, , Hubble subtype 0-7 or a-d
# COLUMN8: minhubtyp, string, , Minimum Hubble type 
# COLUMN9: minhubsubtyp, string, , Minimum Hubble subtype 
# COLUMN10: maxhubtyp, string, , Maximum Hubble type
# COLUMN11: maxhubsubtyp, string, , Maximum Hubble subtype
# COLUMN12: bar, String, Barredness A or AB or B
# COLUMN13: minbar, String, , Minimum barredness
# COLUMN14: maxbar, String, , Maximum barredness 
# COLUMN15: merg, string, , Merging (M) or Isolated (I)
# COLUMN16: minmerg , String, , Min Merging (M) or Isolated (I)
# COLUMN17: maxmerg , String, , Max Merging (M) or Isolated (I)
    157, UGC04029, UGC04029,     117.0790100,      34.3322716, S, c, S, b, S, d, AB, A, B, I, I, I
    158, UGC04054, UGC04054,     117.7335510,      23.8959103, S, cd, S, bc, S, d, A, A, B, I, I, I
    159, IC0480, IC0480,     118.8467865,      26.7411194, S, c, S, ab, S, m, AB, A, AB, I, I, I
    160, NGC2476, NGC2476,     119.1882782,      39.9278908, E, 6, E, 3, S, 0, A, A, A, I, I, I
    161, NGC2480, NGC2480,     119.2935181,      23.7798100, S, dm, S, c, I, r, A, A, AB, M, I, M
    162, NGC2481, NGC2481,     119.3072968,      23.7677708, S, 0, S, 0, S, 0a, A, A, B, I, I, M
    163, NGC2486, NGC2486,     119.4853668,      25.1608696, S, ab, S, a, S, ab, B, B, B, I, I, I
    164, NGC2487, NGC2487,     119.5852737,      25.1492100, S, b, S, a, S, c, B, B, B, I, I, I
    165, UGC04132, UGC04132,     119.8043594,      32.9146690, S, bc, S, ab, S, d, AB, A, B, I, I, M
    166, UGC04140, UGC04140,     119.8425674,      18.1101894, S, cd, S, bc, S, m, A, A, AB, I, I, I
    167, UGC04145, UGC04145,     119.9171600,      15.3868103, S, a, S, 0, S, b, AB, A, B, I, I, I
    168, UGC04136, UGC04136,     119.9768295,      47.4131012, S, a, S, 0, S, b, AB, A, B, I, I, I
    169, IC0485, IC0485,     120.0823593,      26.7014408, S, ab, S, a, S, b, AB, A, B, I, I, M
    170, NGC2507, NGC2507,     120.4050369,      15.7097397, S, 0a, S, 0, S, a, A, A, AB, I, I, M
    171, NGC2513, NGC2513,     120.6027985,       9.4135504, E, 2, E, 0, E, 4, A, A, A, I, I, I
    172, UGC04176, UGC04176,     120.6785431,      40.6786308, S, d, S, d, I, r, AB, A, B, I, I, I
    173, UGC04190, UGC04190,     120.7397232,      16.2993107, S, 0a, S, 0, S, a, A, A, AB, I, I, I
